Dates GLD SPY SHY
42321 103.559998 202.539993 84.660004
42320 103.849998 204.839996 84.589996
42319 103.830002 207.669998 84.580002
42318 104.18 208.550003 84.580002
42317 104.400002 208.050003 84.540001
42314 104.099998 210.039993 84.559998
42313 105.639999 210.119995 84.639999
42312 105.970001 210.380005 84.639999
42311 106.980003 210.949997 84.730003
42310 108.589996 210.330002 84.739998
42307 109.300003 207.869995 84.789001
42306 109.720001 208.889999 84.789001
42305 110.75 208.940002 84.848969
42304 111.68 206.570007 84.958917
42303 111.43 206.990005 84.928932
42300 111.5 207.520004 84.928932
42299 111.690002 205.210007 84.998898
42298 111.730003 201.869995 84.968914
42297 112.730003 203.089996 84.93893
42296 112.019997 203.320007 84.988901
42293 112.489998 203.270004 84.958917
42292 113.309998 202.289993 84.998898
42291 113.809998 199.300003 85.048869
42290 111.860001 200.179993 84.928932
42289 111.309998 201.589996 84.898948
42286 110.870003 201.399994 84.918935
42285 109.139999 201.199997 84.918935
42284 109.699997 199.429993 84.93893
42283 109.860001 197.809998 84.958917
42282 108.769997 198.479996 84.968914
42279 108.989998 194.990005 85.028882
42278 106.730003 192.160004 84.908938
42277 106.860001 191.589996 84.90894
42276 107.980003 188.080002 84.888962
42275 108.419998 187.910004 84.849
42272 109.809998 192.869995 84.789059
42271 110.489998 192.929993 84.829022
42270 108.220001 193.600006 84.779067
42269 107.790001 193.899994 84.809037
42268 108.529999 196.440002 84.759082
42265 109.209999 195.360001 84.809037
42264 108.410004 198.667003 84.769074
42263 107.309998 199.104729 84.579261
42262 105.900002 197.423469 84.589246
42261 106.220001 194.966244 84.709134
42258 106.160004 195.791953 84.729111
42257 106.379997 194.836927 84.699141
42256 106.129997 193.752554 84.669171
42255 107.519997 196.4386 84.689149
42251 107.489998 191.59378 84.719126
42250 107.839996 194.637949 84.709134
42249 108.620003 194.349456 84.709134
42248 109.199997 190.927248 84.689149
42247 108.82 196.518172 84.65918
42244 108.699997 198.209391 84.689136
42243 107.730003 198.129803 84.72908
42242 107.669998 193.672966 84.719092
42241 109.160004 186.261506 84.769024
42240 110.529999 188.569512 84.808968
42237 111.129997 196.607718 84.769024
42236 110.440002 202.954706 84.679156
42235 108.550003 207.202623 84.709112
42234 107.110001 208.844082 84.629224
42233 107.129997 209.470828 84.639212
42230 106.849998 208.277038 84.58928
42229 106.860001 207.620448 84.629224
42228 107.769997 207.749781 84.699124
42227 106.260002 207.580662 84.699124
42226 105.720001 209.540473 84.58928
42223 104.650002 206.844484 84.619236
42222 104.389999 207.272268 84.629224
42221 103.93 209.013216 84.609256
42220 104.309998 208.237252 84.609256
42219 104.099998 208.645119 84.72908
42216 104.93 209.361396 84.701122
42215 104.269997 209.729492 84.611287
42214 105.169998 209.679748 84.651213
42213 105.019997 208.227294 84.67118
42212 104.860001 205.670595 84.691139
42209 105.349998 206.864385 84.631254
42208 104.330002 209.053002 84.611287
42207 104.800003 210.197047 84.601311
42206 105.370003 210.664617 84.611287
42205 105.699997 211.520169 84.601311
42202 108.650002 211.370951 84.651213
42201 109.760002 211.171989 84.67118
42200 110.160004 209.540473 84.711106
42199 110.739998 209.630004 84.681155
42198 110.989998 208.674963 84.641237
42195 111.489998 206.406758 84.681155
42194 111.360001 203.740628 84.761007
42193 111.089996 203.47202 84.8209
42192 110.760002 206.934015 84.731065
42191 112.059998 205.60095 84.741048
42187 111.760002 206.247597 84.721081
42186 111.980003 206.496304 84.591328
42185 112.370003 204.824986 84.663192
42184 113.07 204.40716 84.663192
42181 112.559998 208.814238 84.523517
42180 112.440002 208.744608 84.573397
42179 112.589996 209.421083 84.593355
42178 112.889999 210.953126 84.553446
42177 113.639999 210.79395 84.573397
42174 115.120003 209.719534 84.633263
42173 115.32 210.585039 84.613305
42172 113.849998 208.486207 84.593355
42171 113.32 208.149607 84.533496
42170 113.730003 207.011102 84.503559
42167 113.230003 207.832797 84.463659
42166 113.260002 209.535615 84.483609
42165 113.779999 208.852521 84.463659
42164 112.82 206.367586 84.483609
42163 112.57 206.337887 84.523517
42160 112.239998 207.674407 84.47363
42159 112.839996 208.030811 84.553446
42158 113.639999 209.802922 84.543467
42157 114.459999 209.248519 84.573397
42156 114 209.456428 84.583376
42153 114.099998 209.030716 84.636258
42152 114.019997 210.337536 84.616309
42151 113.889999 210.575129 84.576418
42150 113.910004 208.595109 84.566451
42146 115.599998 210.86224 84.556476
42145 115.690002 211.36714 84.616309
42144 116.080002 210.753339 84.586393
42143 115.889999 210.901834 84.556476
42142 117.519997 210.971142 84.606334
42139 117.529999 210.317732 84.656199
42138 117.18 210.090034 84.656199
42137 116.550003 207.921909 84.576418
42136 114.5 207.8823 84.536527
42135 113.529999 208.506012 84.52656
42132 113.970001 209.505916 84.606334
42131 113.419998 206.783389 84.486669
42130 114.360001 205.961679 84.516586
42129 114.419998 206.813088 84.546502
42128 114.099998 209.208925 84.566451
42125 113.080002 208.614913 84.566451
42124 113.470001 206.377496 84.601353
42123 115.510002 208.466418 84.611316
42122 116.330002 209.327722 84.601353
42121 115.330002 208.664417 84.641228
42118 113.050003 209.535615 84.65119
42117 114.660004 209.05052 84.621287
42116 113.830002 208.525816 84.581412
42115 115.379997 207.506107 84.65119
42114 114.720001 207.753609 84.641228
42111 115.599998 205.872581 84.65119
42110 115.029999 208.268404 84.691065
42109 115.43 208.327802 84.65119
42108 114.440002 207.397205 84.65119
42107 115.139999 207.001192 84.611316
42104 115.970001 207.941699 84.561479
42103 114.669998 206.813088 84.581412
42102 115.470001 205.90228 84.611316
42101 116.110001 205.209276 84.611316
42100 116.690002 205.753785 84.671131
42096 115.279999 204.377672 84.601353
42095 115.599998 203.645059 84.611316
42094 113.660004 204.367762 84.574434
42093 113.75 206.169587 84.504687
42090 115.059998 203.684668 84.514653
42089 115.480003 203.219362 84.46483
42088 114.730003 203.704457 84.504687
42087 114.57 206.7339 84.524619
42086 114.290001 207.902105 84.494728
42083 113.57 208.308013 84.46483
42082 112.290001 206.485397 84.405048
42081 112.370003 207.431589 84.514653
42080 110.209999 204.967563 84.315376
42079 110.809998 205.578637 84.3353
42076 110.879997 202.868208 84.325334
42075 110.720001 204.119937 84.315376
42074 110.75 201.557344 84.295443
42073 111.419998 202.030433 84.295443
42072 111.970001 205.361801 84.275519
42069 111.860001 204.514176 84.235662
42068 115 207.431589 84.325334
42067 115.110001 207.204888 84.295443
42066 115.470001 208.082081 84.275519
42065 115.68 208.939572 84.295443
42062 116.160004 207.628708 84.364195
42061 116.07 208.338349 84.334315
42060 115.699997 208.584752 84.414
42059 115.260002 208.762154 84.414
42058 115.43 208.170797 84.344278
42055 115.279999 208.200364 84.304435
42054 115.940002 206.958485 84.314398
42053 116.339996 207.106336 84.364195
42052 116.010002 207.08662 84.264593
42048 117.980003 206.761366 84.304435
42047 117.339996 205.913741 84.304435
42046 117.07 203.95237 84.274556
42045 118.470001 203.834102 84.264593
42044 119.169998 201.685478 84.284518
42041 118.639999 202.592238 84.294473
42040 121.790001 203.154028 84.493685
42039 121.580002 201.123673 84.523564
42038 121.050003 201.892448 84.513602
42037 122.419998 199.014467 84.583324
42034 123.449997 196.580008 84.610218
42033 120.760002 199.083467 84.510647
42032 123.419998 197.260082 84.540523
42031 124.400002 199.822675 84.480779
42030 122.989998 202.493671 84.431001
42027 124.230003 202.020582 84.480779
42026 125.230003 203.134327 84.440952
42025 124.230003 200.157779 84.47082
42024 124.199997 199.152452 84.47082
42020 122.519997 198.728647 84.510647
42019 120.940002 196.156203 84.590301
42018 117.970001 197.969723 84.460869
42017 118.160004 199.172169 84.411084
42016 118.559998 199.733959 84.361306
42013 117.260002 201.310942 84.311521
42012 115.940002 202.937193 84.241826
42011 116.43 199.398855 84.251784
42010 117.120003 196.944694 84.211957
42009 115.800003 198.817348 84.17213
42006 114.080002 202.473955 84.17213
42004 113.580002 202.582372 84.082518
42003 115.199997 204.612743 84.112394
42002 113.669998 205.716622 84.082518
41999 114.830002 205.440652 84.002872
41997 112.769997 204.780295 84.03274
41996 112.739998 204.760578 83.989925
41995 112.550003 204.484609 84.079503
41992 114.769997 203.548282 84.059593
41991 115.150002 202.685864 84.119306
41990 114.269997 197.794658 84.169072
41989 114.949997 193.99149 84.248695
41988 114.389999 195.559802 84.198929
41985 117.410004 196.912484 84.25865
41984 117.690002 200.147148 84.179027
